symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
NIFTY2320917750PE,,2023-02-06,NSE,FO,,buy,false,50.000000,116.450000,89503228,1100000056024514,2023-02-06T11:18:29,2023-02-09
NIFTY2320917750PE,,2023-02-06,NSE,FO,,sell,false,50.000000,107.700000,89597018,1100000058151830,2023-02-06T11:25:11,2023-02-09
NIFTY2320917950PE,,2023-02-09,NSE,FO,,buy,false,50.000000,90.450000,92087430,1100000052641175,2023-02-09T11:10:39,2023-02-09
NIFTY2320917950PE,,2023-02-09,NSE,FO,,sell,false,50.000000,81.300000,92341792,1100000054080063,2023-02-09T11:23:47,2023-02-09
BANKNIFTY2320941600CE,,2023-02-09,NSE,FO,,buy,false,25.000000,1.350000,446453260,1500000169706653,2023-02-09T15:03:42,2023-02-09
BANKNIFTY2320941600CE,,2023-02-09,NSE,FO,,sell,false,25.000000,0.600000,447109762,1500000174309737,2023-02-09T15:14:40,2023-02-09
NIFTY2321617700CE,,2023-02-13,NSE,FO,,buy,false,50.000000,145.450000,2626342,1000000031635698,2023-02-13T11:05:08,2023-02-16
NIFTY2321617700CE,,2023-02-13,NSE,FO,,sell,false,50.000000,142.200000,2668083,1000000032342960,2023-02-13T11:10:02,2023-02-16
NIFTY2321617950PE,,2023-02-14,NSE,FO,,buy,false,50.000000,102.150000,89442758,1100000040946971,2023-02-14T12:30:12,2023-02-16
NIFTY2321617950PE,,2023-02-14,NSE,FO,,sell,false,50.000000,101.750000,89474935,1100000041462597,2023-02-14T12:33:41,2023-02-16
NIFTY2321618050CE,,2023-02-16,NSE,FO,,buy,false,50.000000,57.800000,7040132,1000000061594478,2023-02-16T12:10:05,2023-02-16
NIFTY2321618050CE,,2023-02-16,NSE,FO,,sell,false,50.000000,54.700000,7126055,1000000062052797,2023-02-16T12:14:58,2023-02-16
NIFTY2321618050CE,,2023-02-16,NSE,FO,,buy,false,50.000000,56.500000,7165063,1000000063039327,2023-02-16T12:17:04,2023-02-16
NIFTY2321618050CE,,2023-02-16,NSE,FO,,sell,false,50.000000,57.050000,7202473,1000000063431494,2023-02-16T12:19:22,2023-02-16
NIFTY23FEB17900CE,,2023-02-20,NSE,FO,,buy,false,50.000000,122.400000,2936845,1000000036077197,2023-02-20T11:04:44,2023-02-23
